Title,Author,Date,Stars(out_of_10),Review,Sentiment_Score,Polarity
Colder Opportunities,billygoat1071,1 October 2014,6,the equalizer is loosely based on an television series with the same name this reinvention in comparison aims to be darker and much violent but the films ambition is basically turning its star denzel washington into a grittier action hero it somehow pays off when he starts killing bad guys in cold blood and its amazing how he could still carry the characters humanity along the way the film troubles when it gets out of hand to its glorious vigilantism despite it takes place in a world seems apart from that context if you tend to ignore the sentiments and shade of reality you can still tell that its a pretty entertaining piece of action but in general its just difficult to not notice its mess of tones even with that amount of fun there is one side in the film when its totally gripping that is when we just see the protagonist as a person living in an ordinary life often being with people and often encountering them getting in trouble by crime this grounded world just keeps most of its darkness in their presence sometimes feeling like a doomed helpless world but once the hero reveals what he truly is capable of it doesnt actually sucks out its entertainment quality but it does betrays that intriguing context nearly turning itself into a superhero movie except of course its less silly and much violent mccall in shorthand is too competent for any criminal he fights and often leaves with a perfect swagger it may not be big deal to many viewers especially the action fans who are already enjoying the blood but the film sets up an existing theme that seems to be a lot interesting to consider instead of indulging itself with its own way of justice the cool slowmos and stylish special effects might have also rob the sense of realistic tension but put that aside each action scene is watchable enough we dont usually see a wider blockbuster today that has the guts to fearlessly show brutal movie violence like this this is probably the only mundane element existing in those set pieces denzel washington shifts his character to two personalities one is the likable ordinary man himself and the antihero with a hidden cosmic hate through its world the performance does sum up the overall movie from gravitas to smugness and whats great is theyre both effective anyway however the villains and their tattoos have blatantly shown that theyre evil the main antagonist seems like hes written to be overthetop almost like a cartoon villain than a believable human mafioso but marton csokas gives a little grimness as he have fun with it the equalizer would have been nicer if it was a little shorter and much consistent but i could guarantee that it still entertains it does have the appeal through its action and acting though there are more serious things that could have made it a lot compelling thriller the film does have the knack of embracing either of its elements but it just keeps shifting back and forth like were not getting to the actual big picture well if you can accept that the hero is this superior then it might work better for the experience for now it can be endlessly watchable but you will only find few things that are remarkable about it,0.9923,1
"McCall...NOT McClane!! Dark, edgy violence, as well as fantastic performances separate this action movie from the pack!!",cap96,17 September 2014,10,some reviews have characterized this movie as your typical runofthemill action movie nothing you havent seen beforenothing could be farther from the truth this movie is based off the television series called the equalizer it is about an excia operative who uses his special skills to help ordinary people who have no other recourse this movie version of the equalizer is more reminiscent of matt damons jason bourne and it is this that sets this movie above your typical action flick in fact in mr damons own words the equalizer reminded me of the bourne identity in that both are sophisticated adult thriller franchises where the protagonists are capable of highaction exploits but arent running around in spandex directed by the great antoine fuqua the man who brought us training day the equalizer is a gritty and violent suspenseful and superb action film this movie is very characterdriven and denzel washington who plays protagonist robert mccall gives another stellar performance his character lives alone keeps to himself and seems to suffer from some form of ocd most importantly mccall is not mcclane he is not a wisecracking cop in the wrong place at the wrong time but rather a quiet and complex character whose sense of justice is awakened when a young girl is brutally beaten this movie gives you everything you would want from an action film guns explosions and great effects however the violence and bloodshed in this movie are deserving of its r rating and create this films authentic feel the excellent performances by the cast are also what raise this movie well above your ordinary action movie team washingtonfuqua gives us a darker hero for darker times and one you will cheer on every step of the way,0.9575,1
Welcome To The Black Rambo,TheAnimalMother,10 October 2014,6,fairly solid action scenes characters and overall execution somehow the filmmakers and actors make this very hard to believe film enjoyable this is definitely a sensationalistic filmthe most sensationalistic of washingtons career without a doubt and its mostly a regurgitated cookie cutter crowd pleaser of violent vengeance as well but it does manage to remain quite an entertaining action film at the same time even though it has a running time of over two hours the film does feel overall as though it is missing a few key scenes but nonetheless its still worth a look if youre into these kinds of films the movie didnt remind me much at all of the old tv series of the same name the film is much more reminiscent of some of the old brutally violent morality tales that charles broson use to do all that said this basically chalks up as a good film to watch when you dont want to think much and you just want to watch a lot of kick ass entertaining violence its that kind of guilty pleasure,-0.8322,0
Could have been great if it hadn't turned silly,mikegibb-60418,26 May 2020,5,the film starts so well interesting character played by washington a quiet man who goes to a coffee shop at am every night to read one of hundred books recommended by his wife before she died and there he meets a young prostitute who he tries to help when she gets beaten up then suddenly he turns into rambo and starts slaughtering all the bad guys in greater boston the last twenty minutes are just ridiculous he tackles and destroys a small army of baddies armed with sub machine guns using the contents of the diy superstore where he works he could picked up half a dozen of their weapons but no he tackles the ruthless leaders armed to the teeth with a nail gun and of course wins it was like watching an adult version of home alone and then obviously getting leave of absence from the home works depot he travels to moscow and kills a mass of russians what a waste of a good actor and an initially good plot idea,-0.4661,0
Effective and dynamic,FrenchEddieFelson,16 March 2019,None,in the inventory of almost normal heroes like jason bourne jack reacher frank castle bryan mills john wick here is a brand new one robert mccall aka the equalizer he gives a chance to the unlucky ones against the villains by equalizing the forces in this first opus he meets by chance a prostitute as young as lost and hop hop hop he annihilates the russian underworld of boston wooooow sounds easy the result is rather successful i loved it,0.9034,1
good start but fight in Home Depot disappoints,SnoopyStyle,6 March 2015,6,robert mccall denzel washington has a mysterious past and is trying to live the quiet life working at a boston home improvement box store he helps his coworker ralphie lose weight to get the security guard job hes friendly with street walker terialina chloë grace moretz whom he often meets as he reads at a local diner she ends up in the hospital after getting severely beaten up by her pimp slavi he tries to buy her freedom but ends up killing everybody violent russian gangsters come looking for payback this starts well even with the clichéfilled script denzel can pull it off chloe is the innocent and hes the knight in shining armor the problem starts when chloe disappears after the first act i expected her to be the second star and she deserves to be shes good in this movie but it is strictly a solo act the great brutal violence in slavis office is the highlight the action slowly turns more and more cartoonish director antoine fuqua has made some great gritty action i wish he brought a bit more training day unfortunately the last battle in the home mart reminds me too much of home alone there is something compelling about not showing what happened with the hammer thats a great scene its a little more silly to see all the improvised traps in the store,0.0712,1
Washington nails it,MediaPanther,26 September 2014,8,antoine fuquas big screen adaptation of the s tv series the equalizer opens with an impressive tracking shot through an open window and into the orderly and near empty apartment belonging to robert mccall denzel washington mccall lives a spartan existence for the first twenty minutes of the picture he hardly says a word fuqua training day gives a lengthy shot as you watch mccall fold something delicately into a napkin when you see him unfold the napkin at his regular diner and place the teabag into a cup of hot water you understand immediately that this man is a creature of habit firmly set in his ways every night hes there reading a book hes such a regular that he strikes up a familiar acquaintance in a young teenage prostitute teri chloe grace moretz which eventually grows into something of a friendship there is something undeniably hidden within him however when he realizes the danger teri is in thanks to her nefarious russian pimps he forgoes his cautious life and willingly brings on the pain director fuqua accordingly really brings on the style for these sequences his relative quiet touches give way to mayhem before every murder mccall commits the camera slows down taking on a golden hue and you literally see mccall breaking down every element of his victims tattoos facial expressions and then he lets loose even timing himself to see if he can voice dispatch mafiosi in seconds or less and the equalizer is undeniably fun its one of those thrillers that begins moody and atmospheric and then decides it would be more fun to see how many people can be dispatched with nail guns or corkscrew openers and it is similarly unconcerned with logic in the idea that mccall decides to take down the entire east coast hub of the russian mafia simply over one teenage prostitute but with fuqua this stylistically assured and washington equally game does it really matter as teri chloe grace moretz kick ass carrie forgoes the sarcastic strategy jodie foster used as a teenage hooker in scorseses taxi driver teri is arguably much more frightened of her violent handlers and is less given to false bravado as result and even though her character really amounts to little more than a glorified supporting part after she is sent away she is a great deal of fun to watch and she holds her own more than capably against denzel washington the book of eli the habit of extended cameos in the equalizer is even more extreme in the case of melissa leo as roberts former cia contact who pops up to give a vital piece of information on the evil mobster and to tentatively tiptoe around the subject of his wife while offering a small measure of comfort the bit part parade reaches blinkandyoumiss him cameo status by casting a reputable star like bill pullman as leos husband and giving him no more than four lines though of course its possible that this may be a larger part that met with cuts in the editing room if anything a weakness of the equalizer is that mccalls troubled personal life is left as somewhat ambiguous who can blame it really the opening aims for a quiet kind of profundity and it succeeds but isnt really interested in following through for all its thin characterization there is something just as nice in watching denzel washington coldly and calculatingly firing a nail gun in righteous vengeance see more at,-0.6646,0
Ridiculous superhero movie. And I loved it.,javier_8,17 June 2019,7,this movie has a generic plot damsel in distress the bad guys the overpowered superhero that can kill anyone in the most stylish and ridiculous ways but its entertaining like if you dont think about the plot too much and you just want to enjoy the good guy punish the bad guys and bring a small piece of justice to the world cool slowmotion scenes cool fight scenes ridículous but cool and denzel is great at this role fun ride,0.9653,1
Denzel Washington is dope,bbickley13-921-58664,26 September 2014,8,action drama humor denzel can due it all based on the tv show denzel washington is yet another old man similar to pierce bronson in the november man trying to prove hes still got it by playing a mysterious dude who works at a megamart who decides to help a young hooker who got beat up pretty badly and ends up taking down some major hitters in the russian mafia then becomes a target for the main boss the movie had a quiet tone similar to denzel and director antoine fuquas last flick training day but denzels performance in this is far more oscar worthy denzel still brings passion to movies in an age were other actors like him are phoning it in just for the pay check and basically thats what makes the movie watching denzel on screen in all fairness the equalizers main antagonist a man the mob sends to take care of their problems was no slouch either it was so entertaining watching these two hunt each other down possibly the worse part of the movie was there was not enough chloë grace moretz whose role in the movie is no more than a gloried cameo overall mr fuqua directed the great denzel in another amazing role,0.9716,1
Great Action Thriller,claudio_carvalho,27 December 2014,7,in boston massachusetts the methodical and supportive robert bob mccall denzel washington works at the home mart store frequently helping his coworkers every night mccall goes to a diner to read a book and drink tea and he befriends the teenager russian prostitute teri chloë grace moretz the alias of alina one night alinas pimp slavi david meunier brutally beats her and she goes to the intensive care unit icu of the local hospital mccall goes to the russian restaurant where slavi is and offers us for the freedom of alina however slavi does not accept the offer and mccall kills him and his four bodyguards the russian mafia kingpin vladimir pushkin vladimir kulich sends the cruel enforcer teddy marton csokas to find who killed his men soon he finds that mccall is the one who killed the mobster and teddy begins a war against him who is the dangerous mccall the equalizer is a great action thriller directed by antoine fuqua denzel washington is perfect as usual in the role of a vigilante that protects his friends against the russian mobsters and corrupt police detectives the movie is highly entertaining with a great villain my vote is seven title brazil o protetor the protector,0.2521,1
Love Denzel In Any Movie But This Was Awesome,dwhite42-66-658994,4 October 2014,10,the movie was action packed and i love when the good guy always win the character dont talk much but you can only pull that off if you are a good actor the young actress i hear she is did an amazing job to play that partdenzel no words you still got the box office power my husband ex marine he would not stop hollering when one scene came up he gets a kick out of that stuff never seen the equalizer series at all so my opinion is from the movie only sequel is wide open lets have more next year hope to see more love it hope the dvd be out for a christmas present for the husband i will be buying it all i can say is go see this movie because it is very good dont listen to the haters,0.9867,1
"""He didn't come for help. He came for permission"" (dialog)",A_Different_Drummer,4 October 2014,7,all ingredients here for a bournelevel epic but it never repeat never forms a cohesive whole you can almost hear the writers and directors talking among themselves we cant do this straightup someone said because thats the way van damme and seagal would do it so we will slow it down have long stretches where nothing happens and really dopey music the kind that almost puts you to sleep we will call that character development and dont forget to make the lighting dim dim as possible can we have rain in every scene first mistake we cant make this the equivalent of a martial arts film because we have denzel so we lowkey the action until the end second mistake lets tease the audience with the backstory that shows we are creative hold the reveal until the halfway point thats three strikes and youre out oh by the way this could have been done with class the koreans did it same basic story man from nowhere and they produced a much more enjoyable film,0.5169,1
King Kong ain't got ...,kosmasp,3 April 2015,9,you have to give it up for denzel washington liam neeson has been the action hero of late or so many will have you believe but watching this you know he isnt alone i havent seen john wick yet but apparently its a fun ride too there is drama in this too and its still weird seeing chloe moritz in an adult role but shes doing a good job with a small but important role denzels characters might channel a bit of charles bronson but hes making it with his own unique charisma and flavor one thing is for sure if you have a death wish just get on the bad side of him and you are on the action is more than decent the flow of the movie is good with time to take a breath or to before the actionviolence starts up again a good example of an action movie with a heart and a punch,0.9429,1
Above average action flick saved by Denzel Washington's great performance,nscoby93,2 July 2022,7,what holds this film back the most is it doesnt really do much to separate from all the other action flicks of a man taking the law in his own hands the films plot isnt to bad its pretty simple and doesnt go anyway you wouldnt expect the action scenes are solid bloody gorey and enjoyable to watch but what i would usually critique as being slightly above average goes above average thanks to denzel washingtons great performance its no man on fire but its satisfactory nonetheless its a little to long considering the content of the film but it remains an enjoyable film not great but not terrible imdb letterboxd watched on bluray,0.9776,1
A Script Written By A 5-Year-Old Aspiring Hollywood Screenwriter,hopsinglinglao,31 October 2014,2,sorry denzel not even your amazing talent could save this laughably insultingly lame simpleminded patronizing movie straight from the mind of a toddler trapped in a year old hollywood screenwriter fantasizing about saving abused hookers from fat russian mobsters but good things about this movie denzel and mustache twirling bootleg kenneth branagh main villain and from this point on my review will simply be titled hollywood thinks hollywood thinks that russians speaking to each other randomly pepperin english for some odd reason then go back to their native language to say important info like yes hollywood thinks every man only gets mad about injustice when its a young attractive female who is being abused and beaten by rich fat ultra violent mustache twirling foreignerweirdos hollywood thinks excia members go around wiping out entire crime families not because they want to stop crime or injustice to the general public but because one white woman was abused by russian pimpmobsters who very obviously had done that type of thing to countless menwomen before but it is okay for the hero to murder people because hey they hit a woman they are onedimensional evildoers who dont deserve even a trial or gas chamber for their crimes they deserve a vigilante death hollywood thinks the russian mafia and the boston pd are both incompetent fools these rocket scientists run around saying things like no witnesses but brashly brandish guns in broad daylight and shoot at things all the time out in public while doing fauxmilitary hand gestures thought up by the year old screenwriter while playing contra and apparently half of the corrupt cops in this universe are making gobs of money with the ohsodangerous yet generic mafia groups while the other half is shaking down mexican jack blacks mom for pocket change at a taco stand because thats such a booming industry in the southy projects feed me to thah poor by dah way hollywood thinks an excia member can lecture mobsters about lying killing and insulting a government agency for corruptionas if they have such a squeaky clean record and they also think we the idiot simpleton audience is supposed to shake in our boots at these tired played out tropes revolving around the russians and cia and corrupt cops who talk like caricatures from an unreleased sopranos subplot hollywood thinks that every vigilante murder destruction of property torture etc can be written off as legitimate because said vigilante was an exciafbilaw enforcement officer with some current tie to an operational government contact in this case a female instead of a male because that is just so out of the box unexpected so progressive this film hollywood thinks they need to shoot everything in slow motion because matrix hollywood thinks people with guns often give vigilantes minutes of slow motion time to plan out killing them with random blunt or sharp objects just after adjusting skullshaped items to foreshadow their doom hollywood thinks the audience is stupid and they may have a point so constantly have characters yell out things like oh this is the ring i lost and oh my god you did it because we idiots could not done figure that out oh golly geez and a wippdee doo hollywood thinks by shooting people talking that are famous and telegraphing what is good and evil over and over again with the same idiotic tropes that it counts as great cinema fk hollywood and fk this movie,-0.9989,0
Great movie,0U,22 February 2020,None,really great action sequences with some nice violent ends and a very interesting story that almost feels like it starts in the middle leaving you guessing about his past it kind of has a very john wick feel to it but maybe slightly less overthetop crazy,0.3542,1
Slow Paced Action Movie,allstarrunner,19 September 2014,6,the acting in the movie was spoton beware if part of your reason for seeing this movie is because you are a fan of chloe grace moretz she is only in the film for what seems a total of minutes minutes at the beginning minutes at the end she has an important role and plays it well there just isnt much of her the pacing is slow and while the action is good there isnt as much action in this movie as you might think be prepared for that the bad guys are pretty inept that was my number one disappointment with the film for a one man army who is trying to take down one of the most powerful crime lords in the world it was way too easy to navigate through the bad guys there is nothing that evokes any type of emotional reaction during the film at least for me it was a pretty run of the mill dramaaction film if you like slower paced character driven stories where the bad guys dont put up much of a fight and you enjoy the good guy dismantling the enemy one by one then you will enjoy this film other people are comparing this somewhat to bourne dont expect bourne you will be disappointed,0.8783,1
"An action packed two hours, it's worth seeing.",Sleepin_Dragon,30 August 2023,8,robert mccall appears on the surface to be a mild mannered employee at a hardware store but underneath his cool and calm exterior he operates as a one man vigilante fighting to defend those who cant defend themselves ill admit i was one of those that ground when this was first announced as ive forever been a fan of the original tv series woodward made the role his own but i have to say i have always enjoyed watching this reimagining with the third installment now in the cinema it felt like the right time to dig this one out its an action packed well paced bloodthirsty two hour thrill ride denzel washington nails it as mccall it doesnt take long for him to establish as a character we learn a lot about him very quickly we know what he stands for i was keen to learn why he does what he does what motivates him i really did rate marton csokas as teddy he is the stereotypical cliché ridden villain but he really did rise to the occasion hes a bad guy you instantly dislike much better than the first it holds up well hard to believe it was released nine years ago and whilst it is pretty violent in parts the story is actually a very good one,0.9741,1
"DENZEL WASHINGTON IS FANTASTIC, PROBABLY MY FAVE DENZEL FILM.",lukem-52760,2 February 2020,7,i loved the equaliser i loved the legendary denzel in his role as the extremely skilled dangerous robert mccall an excia agent turned urban vigilante denzel is one of the greatest actors in cinema history fact i grew up watching loving this guy over the years hes cranked out some amazing films such as training day man on fire deja vu the taking of pelham the bone collector many many more films im a fan of denzel but some of his flicks i didnt like such as inside man the book of eli terrible ending guns but most of his work is usually excellent with excellent performances here denzel gives another incredible performance to his big list of great roles mccall is a deadly man but a good man who will stop help someone in trouble here set in boston he gets in deep trouble with the local scum the violent russian gangsters who pimp out young girls here mccall helps out a young brutalized girl teri played greatly by cloe grace moretz comes head to head with a very dangerous man called teddy played intensely by martin csokas we also have a small role for the excellent bill pullman who turns up later in the film director antoine fuqua has created a fantastic urban vigilante action thriller thats exciting gritty brutal fun the fact robert mccall works a regular ordinary job in a hardware store is just genius grounds everything is a sense of realism mccall goes about his violent business cleaning up a dark crime ridden boston meets good people as well as bad people some of my favourite moments are just of mccall sitting in the all night diner reading his book drinking his tea little scenes like that are just beautiful with the night time setting the look of the city streets at night are all captured beautifully the action is brutally fun when mccall starts using his special skills on the local thugs corrupted cops its a joy to watch him doing what we would all love to be done in real life another excellent denzel washington film role this is probably my favourite denzel film role,0.9945,1
"Entertaining, but....",michaeldomajnko,9 October 2014,6,let me guess denzel washington is the hero again taking down all of the russian mafia in his wake with some very predictable and no so original fight scenes i am not sure how many times i have seen denzel walking away with an explosion in the background and at times i felt like i was watching man on fire again and had to remind myself that this was not that film while this is not by far denzels best action film it is entertaining for the most part and i found the best scene not actually one of the fight scenes but the verbal confrontation of both he and teddy marton csokas i did get the feeling that this film was made in a hurry as it simply could have been made so much better in saying that it is worth watching so long as you remind yourself that it is just a movie,0.8696,1
Denzel Rocks!,sykesm-25135,29 July 2019,10,great movie and great acting i watched this movie three times in one week couldnt get enough,0.8481,1
